은행id,은행,지점명,주소,위도,경도,구군,읍면동
189,우리은행,우리은행모라동금융센터,부산 사상구 모라동 281-5,35.1923481585704,128.988467911896,사상구,모라동
190,우리은행,우리은행사상지점,부산 사상구 감전동 152-2,35.1529739772735,128.982316883079,사상구,감전동
191,우리은행,우리은행하단동지점,부산 사하구 하단동 589-6,35.1059647786686,128.966053999619,사하구,하단동
192,우리은행,우리은행괴정동지점,부산 사하구 괴정동 740-1,35.0989706689669,128.988700440677,사하구,괴정동
193,우리은행,우리은행신평동금융센터,부산 사하구 신평동 545,35.0895534674215,128.973250336655,사하구,신평동
194,우리은행,우리은행남천동지점,부산 수영구 남천동 8-9,35.1456485251474,129.111253047876,수영구,남천동
195,우리은행,우리은행수영역금융센터,부산 수영구 광안동 1071-1,35.1674544010639,129.114570170822,수영구,광안동
196,우리은행,우리은행토곡지점,부산 연제구 연산동 479-3,35.1841480133862,129.106879014898,연제구,연산동
197,우리은행,우리은행부산거제동지점,부산 연제구 거제동 1477-1,35.1930049716995,129.067444221827,연제구,거제동
198,우리은행,우리은행연산중앙금융센터,부산 연제구 연산동 1124-3,35.1881726182466,129.080771978934,연제구,연산동
199,우리은행,우리은행영도지점,부산 영도구 대교동1가 70-2,35.092943426568,129.038129677892,영도구,대교동
200,우리은행,우리은행부산금융센터,부산 중구 동광동1가 7,35.0996810869065,129.035258944402,중구,동광동
202,우리은행,우리은행부산부평동지점,부산 중구 부평동3가 33,35.1017109773442,129.024903100279,중구,부평동
203,우리은행,우리은행반여동지점,부산 해운대구 반여동 1441-37,35.2014889737228,129.119052292293,해운대구,반여동
204,우리은행,우리은행해운대지점,부산 해운대구 좌동 1466-3,35.1715237945471,129.17667256579,해운대구,좌동
205,우리은행,우리은행센텀시티지점,부산 해운대구 우동 1488,35.1714145464629,129.131041519225,해운대구,우동
206,우리은행,우리은행센텀파크지점,부산 해운대구 재송동 1200,35.1808969760979,129.120950835042,해운대구,재송동
207,우리은행,우리은행해운대중앙지점,부산 해운대구 우동 1562,35.1645620657377,129.161252220737,해운대구,우동
208,우리은행,우리은행TWOCHAIRSW부산,부산 해운대구 우동 1406,35.1592402612741,129.145065570259,해운대구,우동
