번호,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위도,경도,geometry,구군,동
585,대구광역시 중구 태평로1가 1번지 186호,대구광역시 중구 태평로 177-2 (태평로1가),번개시장,그 밖의 대규모점포,344182.4874,265065.5351,35.87518835884166,128.59733489608868,POINT (344182.4874 265065.5351),중구,태평로1가
586,대구광역시 중구 남산동 2466번지 1   호,,보성황실시장,그 밖의 대규모점포,,,35.860196204561,128.581277865884,POINT EMPTY,중구,남산동
587,대구광역시 중구 덕산동 88 반월당역,"대구광역시 중구 달구벌대로 지하 2100, 반월당역 (덕산동)",메트로센터,그 밖의 대규모점포,343820.4077,264018.8761,35.8658738964292,128.592985536696,POINT (343820.4077 264018.8761),중구,덕산동
588,"대구광역시 중구 삼덕동1가 15-1, 3",대구광역시 중구 동성로3길 35 (삼덕동1가),흥구삼덕빌딩,전문점,344203.8918,264147.0647,35.866910738852305,128.59740585599712,POINT (344203.8918 264147.0647),중구,삼덕동
589,대구광역시 중구 덕산동 53-3 동아쇼핑,"대구광역시 중구 달구벌대로 2085, 동아쇼핑 (덕산동)",동아쇼핑점,쇼핑센터,343705.561,264056.6309,35.8662064020823,128.591817679241,POINT (343705.561 264056.6309),중구,덕산동
590,대구광역시 중구 계산동2가 200 현대백화점,대구광역시 중구 달구벌대로 2077 (계산동2가),현대백화점 대구점,복합쇼핑몰,343588.7356,264119.0108,35.8668325627172,128.590630661135,POINT (343588.7356 264119.0108),중구,계산동
591,대구광역시 중구 남산4동 2971번지 11호,대구광역시 중구 달구벌대로 1936 (남산동),롯데쇼핑(주) 롯데슈퍼남산점,구분없음,342303.1235,263634.2945,35.86256883139329,128.57627661932185,POINT (342303.1235 263634.2945),중구,남산4동
592,대구광역시 달성군 현풍읍 원교리 113번지,대구광역시 달성군 현풍읍 현풍로10길 74,(주)서원유통 탑마트 현풍점,대형마트,330601.3358,244543.5524,35.6921053923058,128.445128288454,POINT (330601.3358 244543.5524),달성군,현풍읍
593,대구광역시 달성군 유가읍 봉리 619번지 테크노폴리스 M스퀘어+,"대구광역시 달성군 유가읍 테크노상업로 120, 테크노폴리스 M스퀘어+",M SQUARE +,쇼핑센터,332209.6782,244660.4045,35.6929961179415,128.462927258184,POINT (332209.6782 244660.4045),달성군,유가
594,대구광역시 중구 동인동4가 460호,,중앙시장,그 밖의 대규모점포,,,,,POINT EMPTY,중구,동인동
595,대구광역시 중구 봉산동 127번지 1호 외,"대구광역시 중구 달구벌대로 지하 2160 (봉산동,외)",메트로프라자,그 밖의 대규모점포,344083.4887,263931.2059,35.864983768958325,128.59603427163245,POINT (344083.4887 263931.2059),중구,봉산동
596,대구광역시 중구 대신동 2105번지,대구광역시 중구  큰장로26길  25 (대신동),서문시장2지구종합상가,그 밖의 대규모점포,342582.198,264326.5581,35.8688980919102,128.579519716465,POINT (342582.198 264326.5581),중구,대신동
597,대구광역시 중구 남산동 3006 반월당효성해링턴플레이스,"대구광역시 중구 중앙대로66길 20 (남산동, 반월당효성해링턴플레이스)",탑마트 대구점,대형마트,343902.0801,263530.8099,35.8613814900115,128.593911094088,POINT (343902.0801 263530.8099),중구,남산동
598,대구광역시 남구 대명동 959번지 1호,대구광역시 남구 대명로 116 (대명동),홈플러스(주)남대구점,대형마트,341799.0168,261012.251,35.83901954621881,128.57023196914565,POINT (341799.0168 261012.251),남구,대명동
