약국명,주소,위도,경도
진약국,"대구광역시 달서구 월배로11길 14, 104호 (진천동)",35.8154336,128.5285697
생약국,"대구광역시 달서구 월배로 137, 1층 (진천동)",35.8158444,128.5293654
초록약국,대구광역시 달서구 도원로 29 (도원동),35.807141,128.5362625
삼정약국,"대구광역시 달서구 달구벌대로 1530, 301동 313호 (감삼동, 삼정브리시티용산)",35.8446928,128.5404377
월드컵약국,대구광역시 달서구 월배로 432 (송현동),35.827,128.5532756
뉴현대약국,대구광역시 달서구 월배로 322 (송현동),35.8246972,128.5621443
옵티마참약국,"대구광역시 달서구 조암로 145, 106호 (대천동)",35.819295,128.5163982
성서효성약국,대구광역시 달서구 이곡동로 17 (이곡동),35.8541605,128.5093454
뽕뽕이약국,"대구광역시 달서구 장기로 167, 223동 101-3호 (본리동)",35.8429751,128.5418865
동이한방약국,대구광역시 달서구 월배로24길 54 (진천동),35.8157008,128.5295071
석주약국,대구광역시 달서구 성당로 195 (성당동),35.8505662,128.5720529
튼튼약국,"대구광역시 달서구 조암남로 42, 202호 (월성동)",35.8217518,128.5280645
연금약국,대구광역시 달서구 성서로 419 (이곡동),35.8548352,128.5066657
사랑플러스약국,"대구광역시 달서구 당산로 35, 사동 112호 (본리동, 달서종합상가)",35.8404107,128.5441454
새대한약국,대구광역시 달서구 성지로 70 (용산동),35.8554234,128.5212538
백세약국,"대구광역시 달서구 월배로 395, 1층 (송현동)",35.8299586,128.5504729
그린약국,대구광역시 달서구 구마로 224 (송현동),35.8367725,128.5523585
굿모닝옵티마약국,대구광역시 달서구 와룡로 201 (죽전동),35.8555229,128.537958
대곡강산약국,"대구광역시 달서구 한실로 65, 1층 (도원동)",35.8073109,128.5340451
미약국,대구광역시 달서구 당산로 89 (감삼동),35.8453981,128.5442344
토마토약국,대구광역시 달서구 달구벌대로 1562 (감삼동),35.8500976,128.5379848
송현우리약국,대구광역시 달서구 월배로 332 (송현동),35.8258304,128.5552235
다나약국,대구광역시 달서구 구마로 255 (성당동),35.837649,128.5556949
센트로약국,"대구광역시 달서구 월배로 219, 104호 (상인동, CENTRO TOWER)",35.8191009,128.53719
제일약국,"대구광역시 달서구 이곡공원로 32, B동 1층 (이곡동)",35.8548397,128.5109291
은빛약국,"대구광역시 달서구 송현로7길 10, 214호 (상인동, 상인화성파크드림상가)",35.8217218,128.5456222
광장약국,"대구광역시 달서구 달구벌대로 1762 (두류동,104호)",35.8582802,128.5630854
은성약국,"대구광역시 달서구 월배로 440, 1층 (송현동)",35.8327762,128.553916
새 동산약국,대구광역시 달서구 월성로 42 (월성동),35.831596,128.5308664
원더풀약국,"대구광역시 달서구 조암로 48, 1층 (월성동)",35.8243181,128.524199
정약국,대구광역시 달서구 송현로 40 (송현동),35.8224818,128.5480179
파티마약국,"대구광역시 달서구 학산로7길 39 (월성동,월성주공3단지 상가 110호)",35.832482,128.531153
삼광온누리약국,대구광역시 달서구 당산로 88 (성당동),35.8453174,128.5447361
성당대성약국,"대구광역시 달서구 당산로 39, 성당 래미안 이편한세상 상가 205호 (본리동)",35.8409704,128.5443582
마더스약국성서점,대구광역시 달서구 이곡동로 24 (이곡동),35.8536888,128.5101381
유창약국,대구광역시 달서구 성서서로 355-1 (신당동),35.8567896,128.4995486
송현 참조은약국,대구광역시 달서구 월배로 402 (송현동),35.8260728,128.5572374
원광한약국,대구광역시 달서구 월서로 20 (상인동),35.8208595,128.5325443
월성하나약국,대구광역시 달서구 조암남로 41 (월성동),35.8211952,128.5287614
화성약국,"대구광역시 달서구 월성로 77, 나동 114호 (월성동,월성주공2단지상가)",35.8294291,128.5289456
죽전해맑은약국,대구광역시 달서구 달구벌대로 1577 (죽전동),35.8513454,128.5389968
스마일약국,대구광역시 달서구 달구벌대로 1467 (용산동),35.8579641,128.5238973
싱싱약국,대구광역시 달서구 계대동문로 30 (신당동),35.8551466,128.4953529
이곡동산약국,"대구광역시 달서구 선원남로 113, 107호 (이곡동)",35.8573432,128.5125827
성안약국,"대구광역시 달서구 도원로 30, 109호 (도원동)",35.8072101,128.5355456
신약국,대구광역시 달서구 월배로 214 (상인동),35.8183525,128.5370606
연합약국,"대구광역시 달서구 월곡로 184, 106호 (상인동)",35.8126594,128.5450106
하나약국,대구광역시 달서구 월배로 218 (상인동),35.8184782,128.5374573
강산약국,대구광역시 달서구 송현로 103 (송현동),35.826246,128.5433893
대림온누리약국,"대구광역시 달서구 월배로 71, 101호 (진천동)",35.8151829,128.5282007
새화성약국,대구광역시 달서구 월배로 329 (송현동),35.8258304,128.5552235
하늘온누리약국,대구광역시 달서구 상화북로 209 (상인동),35.8146244,128.5480335
대우당약국,대구광역시 달서구 성서서로 341 (신당동),35.8555481,128.499533
원진약국,대구광역시 달서구 구마로 265 (성당동),35.8379394,128.5568855
