은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,경로당수,복지회관수,버스정류장수,지하철역수,경유노선합
94,iM뱅크(구 대구은행),이곡동지점,대구광역시 달서구 이곡동 계대동문로124,달서구,이곡2동,35.8550894,128.5059093,4.759673473,6.96665602,14451,3260,4.674746654553567,8,1.2216563959921318,4,7,0,17,1,34.160349928203956
95,iM뱅크(구 대구은행),이시아폴리스지점,대구광역시 동구 봉무동 팔공로227,동구,불로.봉무동,35.9190995,128.640295,1.789182547,1.509357112,19708,4051,4.122767309339057,2,3.076745758544382,3,1,0,7,0,15.032494987041538
96,iM뱅크(구 대구은행),이현공단영업부,대구광역시 서구 중리동 국채보상로124,서구,상중이동,35.86851112,128.5447464,2.184980588,3.42579824,17434,4650,5.807697414556659,2,2.8146514629948367,0,1,0,13,0,23.642979872394374
97,iM뱅크(구 대구은행),장기점,대구광역시 달서구 장기동 장기로265,달서구,장기동,35.84334112,128.5312533,3.981938816,3.455807493,15540,3069,3.900732003521529,2,2.5963548069830344,7,9,0,18,0,23.777810114122516
98,iM뱅크(구 대구은행),제2본점영업부,대구광역시 북구 칠성동2가 옥산로111,북구,칠성동,35.88446945,128.5882828,6.578503032,4.14897667,22699,4235,3.5999841728057085,3,2.5494068108403,1,12,0,13,0,26.8921884462599
99,iM뱅크(구 대구은행),죽전지점,대구광역시 달서구 감삼동 달구벌대로1568,달서구,감삼동,35.8503054,128.5386674,3.648975101,3.505067136,30856,4806,2.7511355049375297,3,3.176174083323088,7,5,0,9,1,18.607584791711187
100,iM뱅크(구 대구은행),중구청지점,대구광역시 중구 동인동2가 국채보상로139길1,중구,동인동,35.86932566,128.6061577,3.485341447,2.943021405,10616,2145,4.026426068267917,4,1.417045733956233,7,5,0,10,0,21.47388499043933
101,iM뱅크(구 대구은행),중동지점,대구광역시 수성구 중동 수성로248,수성구,중동,35.84750483,128.6132005,3.59456086,3.858047695,14508,2676,3.541529015240414,3,1.920027046963364,7,5,0,19,0,25.58505747976789
102,iM뱅크(구 대구은행),지산지점,대구광역시 수성구 범물2동 지범로188,수성구,범물2동,35.82080178,128.6395179,7.844930258,6.781265981,15720,3607,4.781154655809935,1,4.428940250799116,1,21,0,13,1,33.327400714909885
103,iM뱅크(구 대구은행),차량등록사업소출장소,대구광역시 수성구 만촌동 동원로84,수성구,만촌1동,35.86663132,128.6397507,2.696906634,3.244340469,20597,4732,4.789122700150851,3,2.387893410453037,7,4,0,16,0,22.827698166887174
104,iM뱅크(구 대구은행),칠곡경북대병원점,대구광역시 북구 학정동 호국로807,북구,국우동,35.95605898,128.5652233,1.944054206,2.834582625,29744,3745,1.92895918838594,1,7.661667076469143,2,3,0,10,0,20.986674370436297
105,iM뱅크(구 대구은행),칠곡지점,대구광역시 북구 관음동 칠곡중앙대로451,북구,관음동,35.93600349,128.5485632,8.534781047,3.083650257,14170,3627,5.511394111718932,1,4.071643717728056,1,8,1,11,0,22.105724179991327
106,iM뱅크(구 대구은행),태전동지점,대구광역시 북구 태전동 칠곡중앙대로309,북구,태전1동,35.92335283,128.5464656,4.691264007,8.8,21312,4553,4.345457298170194,1,5.7179739365625775,4,10,0,19,2,39.66539321588964
107,iM뱅크(구 대구은행),테크노폴리스지점,대구광역시 달성군 유가읍 테크노상업로120,달성군,유가읍,35.69306331,128.4629008,4.934476089,2.419328464,31246,2910,1.0261353194742169,2,4.406580403245636,2,8,0,14,0,19.120955864630137
108,iM뱅크(구 대구은행),통일로점,대구광역시 북구 칠성2가 중앙대로507,북구,칠성동,35.87840139,128.5950097,4.400451149,7.554442744,22699,4235,3.5999841728057085,3,2.5494068108403,4,9,0,20,1,36.80124957537254
109,iM뱅크(구 대구은행),파동지점,대구광역시 수성구 상동 수성로5,수성구,상동,35.82598648,128.6098743,1.941747729,2.926853114,14198,4008,6.236664409681879,1,4.078098106712565,0,2,0,11,0,21.40124157988349
110,iM뱅크(구 대구은행),파티마병원출장소,대구광역시 동구 신암동 아양로99,동구,신암4동,35.88384893,128.6229913,4.253858475,3.374064893,18373,3784,4.133877597458313,2,2.922877735431522,7,7,0,11,0,23.410544243788006
111,iM뱅크(구 대구은행),팔달로지점,대구광역시 서구 비산동 팔달로72-1,서구,비산7동,35.88992938,128.558066,1.993192065,8.8,8379,2755,7.517661552149764,2,1.7709998155888862,5,1,0,14,2,43.18599094922125
112,iM뱅크(구 대구은행),팔달영업부,대구광역시 서구 비산동 팔달로126,서구,비산5동,35.88913523,128.5638313,2.570841114,8.574459005,4987,1926,9.098932408056577,1,1.954834644701254,5,3,0,13,2,35.99259062870523
113,iM뱅크(구 대구은행),학정로지점,대구광역시 북구 구암동 학정로432,북구,구암동,35.94324063,128.5640732,5.497991392,6.4,31074,4860,2.768904529215868,4,2.5960090361445785,1,9,0,23,0,48.957220680463706
